Team,Name,Age,G,GS,MP,FG,FGpct,threeP,threePpct,twoP,twoPpct,eFGpct,FT,FTpct,ORB,DRB,AST,STL,BLK,TOV,Pfoul,PTSperG,PG,PF,SG,SF,C,Exp,Salary
PHI,James Ennis,29,49,0,15.8,2,0.442,0.8,0.349,1.3,0.525,0.524,1,0.787,1,2.1,0.8,0.5,0.3,0.6,1.7,5.8,0,0,1,0,0,5,1882867
PHI,Trey Burke,27,25,0,13.2,2.4,0.465,0.6,0.421,1.7,0.483,0.528,0.5,0.722,0.6,0.8,2.1,0.3,0,0.5,0.8,5.9,1,0,0,0,0,6,2028594
PHI,Raul Neto,27,54,3,12.4,1.9,0.455,0.6,0.386,1.2,0.5,0.532,0.7,0.83,0.2,0.9,1.8,0.4,0.1,0.9,0.9,5.1,1,0,0,0,0,4,1737145
PHI,Kyle O'Quinn,29,29,2,10.8,1.4,0.494,0.2,0.259,1.2,0.603,0.535,0.4,0.55,1.2,2.8,1.8,0.2,0.8,0.7,1.3,3.5,0,0,0,0,1,7,2028594
PHI,Norvel Pelle,26,24,0,9.7,1,0.521,0,0,1,0.532,0.521,0.3,0.5,0.8,2.2,0.3,0.1,1.3,0.8,2.3,2.4,0,0,0,0,1,0,350189
PHI,Zhaire Smith,20,7,0,4.6,0.4,0.273,0,0,0.4,0.375,0.273,0.3,0.5,0,0.3,0.3,0.4,0,0.3,0.6,1.1,0,0,0,1,0,1,3058800
PHI,Jonah Bolden,24,4,0,3.5,0.5,0.667,0,0,0.5,1,0.667,0,0,0,0.3,0,0.3,0,0.5,1,1,0,0,0,0,1,1,1698450
BRK,Kyrie Irving,27,20,20,32.9,10,0.478,2.8,0.394,7.2,0.522,0.546,4.7,0.922,1.1,4.1,6.4,1.4,0.5,2.6,2.7,27.4,1,0,0,0,0,8,31742000
BRK,Spencer Dinwiddie,26,64,49,31.2,6.6,0.415,1.9,0.308,4.7,0.485,0.476,5.4,0.778,0.5,3,6.8,0.6,0.3,2.7,2.8,20.6,1,0,0,0,0,5,10605600
BRK,Joe Harris,28,69,69,30.8,5.5,0.486,2.5,0.424,3,0.553,0.596,0.9,0.719,0.9,3.4,2.1,0.6,0.2,1.5,2.3,14.5,0,0,0,1,0,5,7666667
BRK,Caris LeVert,25,45,31,29.6,6.9,0.425,1.8,0.364,5.1,0.451,0.48,3.1,0.711,1.1,3.1,4.4,1.2,0.2,2.6,1.8,18.7,0,0,1,0,0,3,2625718
BRK,Taurean Prince,25,64,61,29,4.3,0.376,2.3,0.339,2.1,0.429,0.475,1.1,0.798,0.8,5.2,1.8,0.9,0.4,2,2.5,12.1,0,1,0,0,0,3,3481986
BRK,Garrett Temple,33,62,35,27.9,3.6,0.378,2,0.329,1.5,0.473,0.486,1.1,0.805,0.5,3,2.5,0.8,0.5,1,1.7,10.3,0,0,1,0,0,9,4767000
BRK,Jarrett Allen,21,70,64,26.5,4.3,0.649,0,0,4.3,0.658,0.649,2.4,0.633,3.1,6.5,1.6,0.6,1.3,1.1,2.3,11.1,0,0,0,0,1,2,2376840
BRK,Tyler Johnson,27,8,4,24.3,4,0.405,1.8,0.389,2.3,0.419,0.494,2.3,1,1,2,3,0.5,0.1,0.6,1.9,12,1,0,0,0,0,5,212753
BRK,DeAndre Jordan,31,56,6,22,3.4,0.666,0,,3.4,0.666,0.666,1.5,0.68,2.5,7.5,1.9,0.3,0.9,1.3,2,8.3,0,0,0,0,1,11,9881598
BRK,Wilson Chandler,32,35,3,21,2.1,0.404,1.1,0.306,1.1,0.597,0.505,0.6,0.87,0.3,3.8,1.1,0.5,0.3,1,2.3,5.9,0,1,0,0,0,11,2564753
BRK,Iman Shumpert,29,13,0,18.5,1.6,0.328,0.6,0.242,1,0.419,0.391,0.3,0.571,0.7,1.9,0.9,0.9,0.2,0.8,1.6,4.2,0,0,0,1,0,8,419443
BRK,Timothé Luwawu-Cabarrot,24,47,2,18.1,2.5,0.435,1.3,0.388,1.2,0.505,0.55,1.5,0.852,0.6,2.1,0.6,0.4,0.1,0.8,2.3,7.8,0,0,0,1,0,3,844170
BRK,Donta Hall,22,5,0,17,2.8,0.778,0,,2.8,0.778,0.778,1,0.417,1.6,3,0.4,0.4,1,0.6,2.8,6.6,0,1,0,0,0,0,101504
BRK,Rodions Kurucs,21,47,9,14.6,1.7,0.446,0.7,0.367,1,0.529,0.54,0.5,0.632,0.5,2.4,1.1,0.5,0.1,1,1.9,4.6,0,1,0,0,0,1,1699236
BRK,Lance Thomas,31,7,4,14,1.1,0.348,0.6,0.308,0.6,0.4,0.435,0.6,1,0.3,1.6,0.9,0,0,0.9,1.6,3.4,0,1,0,0,0,8,262152
BRK,David Nwaba,27,20,0,13.4,1.9,0.521,0.6,0.429,1.3,0.581,0.606,0.9,0.667,0.4,1.9,0.4,0.6,0.6,0.4,1.6,5.2,0,0,1,0,0,3,1678854
BRK,Nicolas Claxton,20,15,0,12.5,1.8,0.563,0.1,0.143,1.7,0.634,0.573,0.7,0.524,1.3,1.7,1.1,0.1,0.5,0.6,0.9,4.4,0,0,0,0,1,0,898310
BRK,Džanan Musa,20,40,0,12.2,1.6,0.372,0.5,0.244,1.1,0.479,0.427,1.1,0.75,0.5,1.6,1.1,0.4,0,0.9,0.8,4.8,0,0,0,1,0,1,1911600
BRK,Theo Pinson,24,33,0,11.1,1.4,0.29,0.5,0.188,0.9,0.4,0.339,0.5,0.938,0.3,1.3,1.7,0.5,0.1,1,1.1,3.6,0,0,1,0,0,1,1445697
BRK,Justin Anderson,26,10,1,10.7,1,0.263,0.6,0.207,0.4,0.444,0.342,0.2,0.5,0.1,2,0.8,0,0.6,0.4,1.3,2.8,0,0,1,0,0,4,294432
BRK,Jamal Crawford,39,1,0,6,2,0.5,1,0.5,1,0.5,0.625,0,,0,0,3,0,0,0,1,5,0,0,1,0,0,19,289803
ORL,Aaron Gordon,24,62,62,32.5,5.4,0.437,1.2,0.308,4.2,0.494,0.484,2.4,0.674,1.7,5.9,3.7,0.8,0.6,1.6,2,14.4,0,1,0,0,0,5,19863636
ORL,Nikola Vučević,29,62,62,32.2,8,0.477,1.6,0.339,6.4,0.531,0.525,2.1,0.784,2.3,8.6,3.6,0.9,0.8,1.4,2.2,19.6,0,0,0,0,1,8,28000000
ORL,Evan Fournier,27,66,66,31.5,6.6,0.467,2.6,0.399,4,0.527,0.56,2.7,0.818,0.3,2.3,3.2,1.1,0.2,1.9,2.4,18.5,0,0,0,1,0,7,17000000
ORL,Jonathan Isaac,22,34,32,28.8,4.6,0.47,0.9,0.34,3.6,0.521,0.518,1.8,0.779,1.7,5.1,1.4,1.6,2.3,1.4,2.4,11.9,0,1,0,0,0,2,5806440
ORL,Markelle Fultz,21,72,60,27.7,5,0.465,0.5,0.267,4.5,0.507,0.488,1.6,0.73,0.6,2.7,5.1,1.3,0.2,2,2,12.1,1,0,0,0,0,2,9745200
ORL,Terrence Ross,28,69,0,27.4,4.9,0.403,2.6,0.351,2.4,0.48,0.508,2.3,0.853,0.2,3,1.2,1.1,0.3,1,1.6,14.7,0,0,1,0,0,7,12500000
ORL,D.J. Augustin,32,57,13,24.9,3.2,0.399,1.2,0.348,2,0.438,0.475,2.8,0.89,0.4,1.8,4.6,0.6,0,1.5,1.3,10.5,1,0,0,0,0,11,7250000
ORL,James Ennis,29,20,18,24.5,3,0.451,0.9,0.286,2.1,0.6,0.519,1.6,0.838,1.2,3.6,1.1,0.6,0.4,1.4,2.6,8.5,0,0,1,0,0,5,1882867
ORL,Al-Farouq Aminu,29,18,2,21.1,1.4,0.291,0.5,0.25,0.9,0.32,0.343,1.1,0.655,1.3,3.5,1.2,1,0.4,0.9,1.5,4.3,0,1,0,0,0,9,9258000
ORL,Khem Birch,27,48,24,19.2,1.5,0.51,0,0,1.5,0.514,0.51,1.4,0.653,1.9,2.7,1,0.4,0.5,0.6,1.9,4.4,0,0,0,0,1,2,3000000
ORL,Michael Carter-Williams,28,45,0,18.5,2.5,0.427,0.5,0.293,2,0.481,0.469,1.8,0.832,1,2.2,2.4,1.1,0.5,1.2,1.9,7.2,0,0,1,0,0,6,2028594
ORL,Wesley Iwundu,25,52,21,18.3,1.9,0.416,0.5,0.341,1.3,0.457,0.476,1.5,0.804,0.5,2.1,1.2,0.5,0.3,0.5,1.5,5.8,0,0,0,1,0,2,1618520
ORL,Gary Clark,25,24,5,14.8,1.3,0.419,0.9,0.35,0.4,0.714,0.561,0.1,1,1.1,1.8,0.2,0.2,0.6,0.3,1,3.6,0,1,0,0,0,1,718765
ORL,Melvin Frazier,23,19,0,6.6,0.8,0.441,0.4,0.5,0.4,0.389,0.559,0.1,0.5,0.1,0.4,0.2,0.5,0.1,0.3,0.6,2.1,0,0,1,0,0,1,1416852
